Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00238 Position: X=1.122992, Y=0.04174566, Z=6.068075 
Frame 00239 Position: X=1.119985, Y=0.04665899, Z=6.098682 
Frame 00240 Position: X=1.116667, Y=0.05204582, Z=6.129885 
Frame 00241 Position: X=1.113223, Y=0.05761385, Z=6.159922 
Frame 00242 Position: X=1.108275, Y=0.06559324, Z=6.199632 
Frame 00243 Position: X=1.10374, Y=0.07290077, Z=6.233076 
Frame 00244 Position: X=1.098428, Y=0.0814724, Z=6.269306 
Frame 00245 Position: X=1.093945, Y=0.08872318, Z=6.297773 
Frame 00246 Position: X=1.088856, Y=0.09697771, Z=6.328076 
Frame 00247 Position: X=1.083921, Y=0.1050153, Z=6.355684 
Frame 00248 Position: X=1.079045, Y=0.1129904, Z=6.381441 
Frame 00249 Position: X=1.071919, Y=0.1247077, Z=6.416679 
Frame 00250 Position: X=1.065206, Y=0.1358228, Z=6.447595 
Frame 00251 Position: X=1.060013, Y=0.1444697, Z=6.470156 
Frame 00252 Position: X=1.053591, Y=0.1552262, Z=6.496593 
Frame 00253 Position: X=1.045419, Y=0.1690159, Z=6.528127 
Frame 00254 Position: X=1.039656, Y=0.1788087, Z=6.549081 
Frame 00255 Position: X=1.032465, Y=0.1911087, Z=6.573876 
Frame 00256 Position: X=1.02492, Y=0.2041073, Z=6.598411 
Frame 00257 Position: X=1.019391, Y=0.2136946, Z=6.615503 
Frame 00258 Position: X=1.011636, Y=0.2272263, Z=6.638306 
Frame 00259 Position: X=0.998466, Y=0.2504344, Z=6.674172 
Frame 00260 Position: X=0.9892413, Y=0.2668581, Z=6.697353 
Frame 00261 Position: X=0.9821355, Y=0.2796016, Z=6.714211 
Frame 00262 Position: X=0.9699628, Y=0.3016162, Z=6.741226 
Frame 00263 Position: X=0.959851, Y=0.3200774, Z=6.762011 
Frame 00264 Position: X=0.9520689, Y=0.3343902, Z=6.777056 
Frame 00265 Position: X=0.9403312, Y=0.3561325, Z=6.798274 
Frame 00266 Position: X=0.9290552, Y=0.3767657, Z=6.816771 
Frame 00267 Position: X=0.9170722, Y=0.3982701, Z=6.834586 
Frame 00268 Position: X=0.9043992, Y=0.4206262, Z=6.851732 
Frame 00269 Position: X=0.8910529, Y=0.4438143, Z=6.868222 
Frame 00270 Position: X=0.8806109, Y=0.461741, Z=6.880168 
Frame 00271 Position: X=0.862695, Y=0.4921255, Z=6.899001 
Frame 00272 Position: X=0.8474383, Y=0.517684, Z=6.913618 
Frame 00273 Position: X=0.8315734, Y=0.5439992, Z=6.927631 
Frame 00274 Position: X=0.8192857, Y=0.5642214, Z=6.937756 
Frame 00275 Position: X=0.8043869, Y=0.5885754, Z=6.949268 
Frame 00276 Position: X=0.78909, Y=0.6134119, Z=6.960308 
