Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00253 Rotation: X=-0.3515112, Y=-0.202511, Z=-0.1094941, W=0.9074361 
Frame 00254 Rotation: X=-0.3532249, Y=-0.2034135, Z=-0.110322, W=0.906468 
Frame 00255 Rotation: X=-0.3551299, Y=-0.2043445, Z=-0.1112037, W=0.9054059 
Frame 00256 Rotation: X=-0.3569616, Y=-0.2051661, Z=-0.1120114, W=0.9043997 
Frame 00257 Rotation: X=-0.3589181, Y=-0.2059663, Z=-0.1128311, W=0.903341 
Frame 00258 Rotation: X=-0.3608174, Y=-0.2066655, Z=-0.1135822, W=0.9023299 
Frame 00259 Rotation: X=-0.3629627, Y=-0.2073644, Z=-0.1143771, W=0.9012081 
Frame 00260 Rotation: X=-0.3634297, Y=-0.2074995, Z=-0.1145399, W=0.9009681 
Frame 00261 Rotation: X=-0.3655186, Y=-0.2080888, Z=-0.1152625, W=0.8998943 
Frame 00262 Rotation: X=-0.3676195, Y=-0.2085847, Z=-0.1159282, W=0.8988376 
Frame 00263 Rotation: X=-0.3697488, Y=-0.208991, Z=-0.1165427, W=0.8977897 
Frame 00264 Rotation: X=-0.3718979, Y=-0.209301, Z=-0.117098, W=0.896757 
Frame 00265 Rotation: X=-0.3737427, Y=-0.2094802, Z=-0.1175163, W=0.8958931 
Frame 00266 Rotation: X=-0.3759268, Y=-0.2096036, Z=-0.1179523, W=0.8948925 
Frame 00267 Rotation: X=-0.3781291, Y=-0.2096214, Z=-0.1183185, W=0.8939116 
Frame 00268 Rotation: X=-0.380349, Y=-0.2095298, Z=-0.118611, W=0.892952 
Frame 00269 Rotation: X=-0.3825859, Y=-0.2093253, Z=-0.1188258, W=0.8920154 
Frame 00270 Rotation: X=-0.3848387, Y=-0.2090043, Z=-0.1189591, W=0.8911033 
Frame 00271 Rotation: X=-0.3870642, Y=-0.2085757, Z=-0.1190088, W=0.8902328 
Frame 00272 Rotation: X=-0.3893455, Y=-0.2080146, Z=-0.1189696, W=0.8893741 
Frame 00273 Rotation: X=-0.391639, Y=-0.2073281, Z=-0.1188385, W=0.8885446 
Frame 00274 Rotation: X=-0.3939431, Y=-0.2065136, Z=-0.1186123, W=0.8877455 
Frame 00275 Rotation: X=-0.3978866, Y=-0.2048191, Z=-0.1179952, W=0.8864607 
Frame 00276 Rotation: X=-0.4000459, Y=-0.2037257, Z=-0.1175298, W=0.8858024 
